Initialize buffers
//rem 2026-03-09 Copilot: DEBUG AUDIT applied b[00][14] CRC DID_HB fix, voltage byte offset fix, UDS PCI fix.
//rem 2026-03-11 Copilot: ARXML-compliant. VehTi field packing: Year-12b, Month-4b, Day-6b, Hr-5b, Min-6b, Sec-7b (see code).
[7712] Startup initiated
[7762] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 0A 82 05 FF FF FF FF FF CRC:0x0A
[7762] TX-CTLCMD CAN ID: 0x60F Len: 8 Data: 32 62 00 01 FF FF FF FF CRC:0x32
[7764] TX-VEHINFO CAN ID: 0x5B0 Len: 8 Data: 26 52 8C F8 00 F8 FF FF CRC:0x26
[7771] TX-VEHTIME CAN ID: 0x600 Len: 8 Data: 18 37 2D 80 07 00 00 00 CRC:0x18
[7778] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 46 83 05 FF FF FF FF FF CRC:0x46
[7788] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: BF 84 05 FF FF FF FF FF CRC:0xBF
[7798] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: F3 85 05 FF FF FF FF FF CRC:0xF3
[7808] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 27 86 05 FF FF FF FF FF CRC:0x27
[7818] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 6B 87 05 FF FF FF FF FF CRC:0x6B
[7828] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: C8 88 05 FF FF FF FF FF CRC:0xC8
[7838] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 84 89 05 FF FF FF FF FF CRC:0x84
[7848] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 50 8A 05 FF FF FF FF FF CRC:0x50
[7858] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 1C 8B 05 FF FF FF FF FF CRC:0x1C
[7862] TX-CTLCMD CAN ID: 0x60F Len: 8 Data: BD 63 00 01 FF FF FF FF CRC:0xBD
[7862] TX-VEHINFO CAN ID: 0x5B0 Len: 8 Data: 4C 53 8C F8 00 F8 FF FF CRC:0x4C
[7868] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: E5 8C 05 FF FF FF FF FF CRC:0xE5
[7878] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: A9 8D 05 FF FF FF FF FF CRC:0xA9
[7888] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 7D 8E 05 FF FF FF FF FF CRC:0x7D
[7898] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: DE 81 05 FF FF FF FF FF CRC:0xDE
[7908] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 0A 82 05 FF FF FF FF FF CRC:0x0A
[7918] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 46 83 05 FF FF FF FF FF CRC:0x46
[7928] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: BF 84 05 FF FF FF FF FF CRC:0xBF
[7938] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: F3 85 05 FF FF FF FF FF CRC:0xF3
[7948] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 27 86 05 FF FF FF FF FF CRC:0x27
[7958] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 6B 87 05 FF FF FF FF FF CRC:0x6B
[7962] TX-CTLCMD CAN ID: 0x60F Len: 8 Data: 37 64 00 01 FF FF FF FF CRC:0x37
[7962] TX-VEHINFO CAN ID: 0x5B0 Len: 8 Data: 47 54 8C F8 00 F8 FF FF CRC:0x47
[7968] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: C8 88 05 FF FF FF FF FF CRC:0xC8
[7978] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 84 89 05 FF FF FF FF FF CRC:0x84
[7988] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 50 8A 05 FF FF FF FF FF CRC:0x50
[7998] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 1C 8B 05 FF FF FF FF FF CRC:0x1C
[8008] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: E5 8C 05 FF FF FF FF FF CRC:0xE5
[8018] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: A9 8D 05 FF FF FF FF FF CRC:0xA9
[8028] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 7D 8E 05 FF FF FF FF FF CRC:0x7D
[8038] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: DE 81 05 FF FF FF FF FF CRC:0xDE
[8048] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 0A 82 05 FF FF FF FF FF CRC:0x0A
[8058] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 46 83 05 FF FF FF FF FF CRC:0x46
[8062] TX-CTLCMD CAN ID: 0x60F Len: 8 Data: B8 65 00 01 FF FF FF FF CRC:0xB8
[8062] TX-VEHINFO CAN ID: 0x5B0 Len: 8 Data: 2D 55 8C F8 00 F8 FF FF CRC:0x2D
[8068] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: BF 84 05 FF FF FF FF FF CRC:0xBF
[8078] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: F3 85 05 FF FF FF FF FF CRC:0xF3
[8088] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 27 86 05 FF FF FF FF FF CRC:0x27
[8098] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 6B 87 05 FF FF FF FF FF CRC:0x6B
[8108] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: C8 88 05 FF FF FF FF FF CRC:0xC8
[8118] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 84 89 05 FF FF FF FF FF CRC:0x84
[8128] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 50 8A 05 FF FF FF FF FF CRC:0x50
[8138] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 1C 8B 05 FF FF FF FF FF CRC:0x1C
[8148] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: E5 8C 05 FF FF FF FF FF CRC:0xE5
[8158] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: A9 8D 05 FF FF FF FF FF CRC:0xA9
[8162] TX-CTLCMD CAN ID: 0x60F Len: 8 Data: 34 66 00 01 FF FF FF FF CRC:0x34
[8162] TX-VEHINFO CAN ID: 0x5B0 Len: 8 Data: 93 56 8C F8 00 F8 FF FF CRC:0x93
[8168] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 7D 8E 05 FF FF FF FF FF CRC:0x7D
[8178] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: DE 81 05 FF FF FF FF FF CRC:0xDE
[8188] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 0A 82 05 FF FF FF FF FF CRC:0x0A
[8198] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 46 83 05 FF FF FF FF FF CRC:0x46
[8208] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: BF 84 05 FF FF FF FF FF CRC:0xBF
[8218] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: F3 85 05 FF FF FF FF FF CRC:0xF3
[8228] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 27 86 05 FF FF FF FF FF CRC:0x27
[8238] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 6B 87 05 FF FF FF FF FF CRC:0x6B
[8248] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: C8 88 05 FF FF FF FF FF CRC:0xC8
[8258] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 84 89 05 FF FF FF FF FF CRC:0x84
